No.,Category,Equipment
1,Machinery & Power Tools,Pillar Drills
2,Woodworking Machines,Bandsaws
3,Machinery & Power Tools,Metal and Wood Centre Lathes
4,Machinery & Power Tools,Bench Grinders and Bandfacers
5,Woodworking Machines,Scroll Saws
6,Woodworking Machines,Pillar-Mounted Mortisers
7,"3D Printing, Laser & CNC",Enclosed CO2 Laser Cutters
8,"3D Printing, Laser & CNC",FDM 3D Printers
9,"3D Printing, Laser & CNC",Compact CNC Routers
10,"3D Printing, Laser & CNC",Vinyl Cutters
11,Machinery & Power Tools,Vacuum Formers
12,"3D Printing, Laser & CNC",Resin (SLA) 3D Printers
13,Electronics & Prototyping,Microcontrollers and Prototyping Kits
14,Robotics & Mechatronics,Robotics Platforms
15,Electronics & Prototyping,Temperature-Controlled Soldering Stations
16,Electronics & Prototyping,Digital Multimeters and DC Power Supplies
17,Electronics & Prototyping,Entry-Level Oscilloscopes
18,Workshop Furniture & Storage,Component Storage and Organizer Bins
19,Measuring & Inspection,Engineer's Squares and Try Squares
20,Measuring & Inspection,Steel Rules and Digital Calipers
21,Hand Tools,Tenon Saws and Coping Saws
22,Hand Tools,Workshop Files and Chisels
23,Workshop Furniture & Storage,Shadow-Boarded Tool Storage Trolleys
24,Marking & Layout,Center Punches and Scriber Needles
25,Hand Tools,Rivet Guns and Hot Glue Stations
26,Hand Tools,Pin Vices
27,Hand Tools,Jeweler's Saw Frames
28,Hand Tools,Heavy-Duty Staple Guns
29,Machinery & Power Tools,Heat Guns
30,Workshop Furniture & Storage,Woodworking Workbenches with Vices
31,Metalworking Machines,Metalworking Heavy Vices
32,Woodworking Machines,Surface Planers and Jointers
33,Woodworking Machines,Thickness Planers
34,Woodworking Machines,Table Saws with Riving Knives
35,Woodworking Machines,Radial Arm Saws
36,Woodworking Machines,Compound Miter Saws
37,Woodworking Machines,Biscuit Jointers
38,Hand Tools,Dowel Jigs
39,Hand Tools,Pocket Hole Jigs
40,Pneumatics & Air Tools,Pneumatic Brad Nailers
41,Pneumatics & Air Tools,Air Compressors
42,Extraction & Ventilation,Dust Extraction Systems
43,Extraction & Ventilation,Cyclone Separators
44,Extraction & Ventilation,Flexible Extraction Arms
45,Extraction & Ventilation,Fume Extraction Units for Soldering
46,Safety & First Aid,Portable Fire Blankets and Extinguishers
47,Safety & First Aid,First Aid Kits for Workshops
48,Safety & First Aid,PPE Storage Cabinets
49,PPE & Protection,Safety Glasses and Goggles Dispensers
50,PPE & Protection,Face Shields
51,PPE & Protection,Over-Ear Hearing Protection
52,PPE & Protection,Nitrile and Leather Work Gloves
53,Electronics & Prototyping,Soldering Mat Anti-Static ESD Sets
54,Electronics & Prototyping,ESD Wrist Straps
55,Electronics & Prototyping,Benchtop Magnifying Lamps
56,Measuring & Inspection,Digital Micrometers
57,Measuring & Inspection,Vernier Height Gauges
58,Measuring & Inspection,Feeler Gauges
59,Measuring & Inspection,Dial Test Indicators (DTIs)
60,Measuring & Inspection,Granite Surface Plates
61,Measuring & Inspection,V-Blocks and Clamps
62,Measuring & Inspection,Center Squares
